Name, Processor, RAM, Operating System, Display, Price 
Micromax Atom Quad Core - (2 GB/32 GB EMMC Storage/Windows 10 Home) Canvas L1160 Laptop,Intel Atom Quad Core Processor,2 GB DDR3 RAM,32 bit Windows 10 Operating System,11.6 inch Display,10999,
Lenovo Core i5 7th Gen - (8 GB/256 GB SSD/Windows 10 Home) IP 520S Laptop,Intel Core i5 Processor (7th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,14.1 inch Display,63990,
Acer Aspire R11 Pentium Quad Core - (4 GB/500 GB HDD/Windows 10 Home) R3-131T-P9J9/r3-131t-p71c 2 in 1...,Intel Pentium Quad Core Processor,4 GB DDR3 RAM,64 bit Windows 10 Operating System,11.6 inch Touchscreen Display,25990,
Dell Inspiron APU Dual Core A6 7th Gen - (4 GB/500 GB HDD/Ubuntu) 3565 Laptop,AMD APU Dual Core A6 Processor (7th Gen),4 GB DDR4 RAM,Linux/Ubuntu Operating System,15.6 inch Display,21990,
Lenovo Ideapad Core i5 7th Gen - (8 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) IP 320 Laptop,Intel Core i5 Processor (7th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,45990,
Acer Aspire 3 Core i3 6th Gen - (4 GB/500 GB HDD/Linux) A315-51 Notebook,Intel Core i3 Processor (6th Gen),4 GB DDR4 RAM,Linux/Ubuntu Operating System,15.6 inch Display,25990,
Lenovo Core i7 7th Gen - (16 GB/2 TB HDD/Windows 10 Home/4 GB Graphics) IP 520 Laptop,Intel Core i7 Processor (7th Gen),16 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,78990,
HP x360 Core i3 7th Gen - (4 GB/1 TB HDD/8 GB SSD/Windows 10 Home/2 GB Graphics) 14-ba075TX 2 in 1 Lap...,Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,14 inch Touchscreen Display,54290,
HP BS Core i3 6th Gen - (4 GB/1 TB HDD/128 GB EMMC Storage/Windows 10 Home) 15-BS 617 TU Laptop,Intel Core i3 Processor (6th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,33379,
HP Imprint Core i3 6th Gen - (4 GB/1 TB HDD/Windows 10 Home) 15Q-bu013TU Laptop,Intel Core i3 Processor (6th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,32990,
Acer ES 15 Core i3 6th Gen - (4 GB/500 GB HDD/Linux) ES1-572-33M8 Laptop,Intel Core i3 Processor (6th Gen),4 GB DDR4 RAM,64 bit Linux/Ubuntu Operating System,15.6 inch Display,25990,
Lenovo Core i5 7th Gen - (8 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) Ideapad 510 Laptop,Intel Core i5 Processor (7th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,50990,
Lenovo Core i5 7th Gen - (16 GB/2 TB HDD/Windows 10 Home/4 GB Graphics) IP 520 Laptop,Intel Core i5 Processor (7th Gen),16 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,63990,
Acer Aspire 5 Core i5 7th Gen - (8 GB/1 TB HDD/Linux/2 GB Graphics) A515-51G Laptop,Intel Core i5 Processor (7th Gen),8 GB DDR4 RAM,Linux/Ubuntu Operating System,15.6 inch Display,38990,
Acer Spin 1 Pentium Quad Core - (4 GB/500 GB HDD/Windows 10 Home) SP111-31 2 in 1 Laptop,Intel Pentium Quad Core Processor,4 GB DDR3 RAM,64 bit Windows 10 Operating System,11.6 inch Touchscreen Display,28990,
Apple MacBook Air Core i5 5th Gen - (8 GB/256 GB SSD/Mac OS Sierra) MQD42HN/A,Intel Core i5 Processor (5th Gen),8 GB DDR3 RAM,64 bit Mac OS Operating System,13.3 inch Display,92500,
RDP ThinBook Atom Quad Core 7th Gen - (2 GB/32 GB EMMC Storage/Windows 10) 1110 2 in 1 Laptop,Intel Atom Quad Core Processor (7th Gen),2 GB DDR3 RAM,32 bit Windows 10 Operating System,11.6 inch Touchscreen Display,13499,
HP Core i5 6th Gen - (4 GB/1 TB HDD/DOS/2 GB Graphics) 15-be015TX Laptop,Intel Core i5 Processor (6th Gen),4 GB DDR4 RAM,DOS Operating System,15.6 inch Display,40990,
Dell Inspiron 15 5000 Core i5 8th Gen - (8 GB/2 TB HDD/Windows 10 Home/4 GB Graphics) 5570 Laptop,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,62990,
HP Core i3 5th Gen - (4 GB/1 TB HDD/DOS) 15-AC122TU Laptop,Intel Core i3 Processor (5th Gen),4 GB DDR3 RAM,64 bit DOS Operating System,15.6 inch Display,28490,
Lenovo Core i5 7th Gen - (4 GB/1 TB HDD/Windows 10 Home) Yoga 520 2 in 1 Laptop,Intel Core i5 Processor (7th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,14 inch Touchscreen Display,58990,
Dell Inspiron 15 5000 Core i5 8th Gen - (8 GB/2 TB HDD/Windows 10 Home/4 GB Graphics) 5570 Laptop,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,62990,
Acer Aspire 3 APU Dual Core A4 - (4 GB/1 TB HDD/Windows 10 Home) A315-21 Laptop,AMD APU Dual Core A4 Processor,4 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,24999,
Dell Inspiron 15 3000 Series Core i5 7th Gen - (4 GB/1 TB HDD/Ubuntu/2 GB Graphics) 3567 Laptop,Intel Core i5 Processor (7th Gen),4 GB DDR4 RAM,Linux/Ubuntu Operating System,15.6 inch Display,38990,
HP A Core i3 6th Gen - (4 GB/1 TB HDD/Windows 10 Home) AM519tu Laptop,Intel Core i3 Processor (6th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,14 inch Display,33890,
