Brand, Processor, RAM, OS , Display, Touch, Price 
Acer,IntelCeleronDual,2,Linux/UbuntuOperatingSystem,15.6,0,18990
HP,AMDAPUDual,4,64bitWindows,14,0,40199
Acer,IntelCorei3,4,Linux/UbuntuOperatingSystem,15.6,0,33999
Asus,IntelCorei7,8,64bitLinux/Ubuntu,15.6,0,72999
Acer,IntelCorei5,4,64bitWindows,15.6,0,43990
Lenovo,IntelCorei3,4,64bitDOS,15.6,0,29650
HP,IntelCorei7,16,64bitWindows,13.3,1,159990
Asus,IntelCorei3,4,64bitDOS,15.6,0,29999
HP,IntelCorei5,8,64bitWindows,15.6,0,97990
MSI,IntelCorei7,8,DOSOperatingSystem,15.6,0,79990
Asus,IntelCorei5,4,64bitDOS,15.6,0,45490
Asus,IntelCorei3,4,64bitWindows,15.6,0,33990
Asus,IntelCorei3,4,64bitWindows,15.6,0,32990
Lenovo,IntelCorei3,4,64bitLinux/Ubuntu,15.6,0,32990
Lenovo,IntelPentiumQuad,4,64bitDOS,15.6,0,26990
Lenovo,IntelCorei7,8,64bitWindows,14,1,97990
Dell,IntelCorei5,8,64bitWindows,15.6,0,60000
Dell,IntelCorei3,4,64bitWindows,13.3,1,53500
Dell,IntelCorei5,8,64bitWindows,15.6,0,61500
Iball,IntelAtomQuad,2,32bitWindows,10.1,1,12000
Dell,IntelCorei5,8,64bitWindows,15.6,1,71990
Acer,IntelCorei5,4,64bitWindows,15.6,0,44499
Dell,IntelCorei5,8,64bitWindows,15.6,0,62000
Lenovo,IntelCorei5,4,64bitWindows,14,1,60390
Asus,IntelCorei3,4,64bitDOS,15.6,0,27990
Acer,IntelCeleronDual,2,64bitWindows,11.6,0,18690
MSI,IntelCorei7,16,64bitWindows,15.6,0,129990
Asus,IntelCorei3,4,64bitDOS,15.6,0,28090
Asus,IntelCorei5,8,64bitWindows,15.6,0,59999
Dell,IntelCorei5,8,64bitWindows,15.6,0,64640
Dell,IntelCorei3,4,64bitWindows,15.6,0,34790
Dell,IntelCorei3,4,64bitDOS,15.6,0,31000
Asus,IntelCorei5,4,64bitDOS,15.6,0,45649
Dell,IntelCorei3,4,64bitLinux/Ubuntu,15.6,0,29890
Asus,IntelCorei3,4,64bitWindows,15.6,0,33678
Fujitsu,IntelCorei3,8,64bitDOS,15.6,0,27000
Asus,IntelCorei3,4,64bitDOS,15.6,0,30796
Asus,IntelCorei7,8,64bitWindows,15.6,0,86990
Asus,IntelCorei3,4,64bitDOS,15.6,0,34650
Asus,IntelCorei3,4,64bitWindows,15.6,0,36990
Asus,IntelCorei3,4,64bitWindows,15.6,0,33540
Asus,IntelCorei5,8,64bitDOS,15.6,0,48990
